假名,日语,中文,英文字母输入,例句,中文释义，日语释义
異論,いろん,异议,iron,異論を唱える,不同意见,别の意見
違和感,いわかん,不适感,iwakan,違和感を感じる,不适感,違和感を感じる
陰気,いんき,阴气,inki,陰気な人,阴郁的人,陰気な人
陰湿,いんしつ,阴湿,inishitsu,陰湿な人,阴险的人,陰湿な人
インスピレーション,いんすぴれーしょん,灵感,insupireeshon,インスピレーションを受ける,灵感,インスピレーションを受ける
インタあチェンジ,いんたーちぇんじ,交换,intaachenji,インタあチェンジを利用する,交换；交流道；高速公路出入口,インタあチェンジを利用する
インタアフォン,いんたあふぉん,互联网电话,intaafon,インタアフォンを使う,网络电话,インタアフォンを使う
インテリ,いんてり,知识分子,interi,インテリになる,知识分子,インテリになる
いんふぉめいしょん,いんふぉめいしょん,信息,inforumeishon,
インフレ,いんふれ,通货膨胀,infure,インフレになる,通货膨胀,インフレになる
隠蔽,いんぺい,隐蔽,inpei,隠蔽する,隐蔽,隠蔽する
飲用,いんよう,饮用,inyou,飲用水,饮用水,飲用水
ウイット,ういっと,机智,uitto,ウイットがある,机智,ウイットがある
ウイルス,ういるす,病毒,uirusu,ウイルスに感染する,病毒,ウイルスに感染する
ウイークデー,ういーくでー,工作日,uiikudee,ウイークデーに働く,工作日,ウイークデーに働く
ウエット,うえっと,湿润,uetto,ウエットな気候,湿润的气候,ウエットな気候
迂回,うかい,绕行,ukai,迂回する,绕行,迂回する
迂闊,うかつ,轻率,ukatsu,迂闊な行動,轻率的行动,迂闊な行動
浮き浮き,うきうき,欢快,ukiuki,浮き浮きする,欢快,浮き浮きする
請け合う,うけあう,承接,ukeau,請け合う,承接,請け合う
