语法,意思,例句
〜を余儀なくされる,被迫做某事，不得不……,会社の経営悪化により、多くの社員が退職を余儀なくされた。
〜とはいえ,虽说……但是……,冬とはいえ、今年は例年より暖かい。
〜にして,只有……才能……,この芸術作品は、熟練の職人にして初めて作り上げることができる。
〜ものの,虽然……但是……,新しいスマホを買ったものの、使い方がよく分からない。
〜ながらに,保持……状态、与生俱来地……,この村は昔ながらにのどかな雰囲気が残っている。
〜をおいて,除了……之外，没有其他的……,次のリーダーは彼をおいて他にいない。
〜たりとも,即使是……也不允许……,試験中は一秒たりとも気を抜いてはいけない。
〜ずくめ,全是……、清一色……,この一年は幸せずくめだった。
〜が早いか,刚……就……,電車のドアが開くが早いか、乗客たちは一斉に乗り込んだ。
〜に越したことはない,最好是……,大事な会議には、早めに到着するに越したことはない。
〜そばから,刚……就……（表示事情反复发生）,習ったそばから忘れてしまう。
〜とあって,因为……所以……（用于特殊情况）,人気俳優が出演するとあって、映画館は満席だった。
〜なしに（は）,没有……就不能……,先生の指導なしには、このプロジェクトを完成させることはできなかった。
〜に至るまで,甚至到……、连……都,彼のコレクションは、古い硬貨から最新の電子機器に至るまで実に多様だ。
〜といえども,即使是……也……,社長といえども、このルールを破ることは許されない。
〜を余儀なくされる,被迫……,災害の影響で、多くの住民が避難生活を余儀なくされた。
〜ともなると / 〜ともなれば,一旦到了……、如果是……,試験前日ともなると、図書館は学生でいっぱいになる。
〜をおいて他にない,非……莫属,次のリーダーにふさわしいのは、彼をおいて他にない。
〜とあって,正因为……、由于……,有名な俳優が出演するとあって、映画館のチケットは即完売した。
〜に至るまで,甚至连……都……,彼のコレクションは、絵画からアンティーク家具に至るまで、多岐にわたる。
〜にたえる,值得……、能够承受……,この映画は何度見ても見るにたえる作品だ。
〜ずにはおかない,必定会……、一定会……,彼の演説は人々の心を動かさずにはおかない。
〜をものともせず,不顾……、无视……,彼は悪天候をものともせず、登山を続けた。
〜ではあるまいし,又不是……、并非……,試験ではあるまいし、そんなに緊張しなくてもいい。
〜ながらに,保持……的状态、天生就……,彼女は涙ながらに真実を語った。
〜をおいて,除了……之外（没有其他的选择）,次のリーダーにふさわしいのは、彼をおいて他にいない。
